       Omega           X           Y   Intensity
        8.00      708.00     1761.00     516.643
        5.00     1059.00      634.00     888.086
        0.00     1238.00     1469.00     991.639
       11.00     1224.00     1476.00     402.959
       29.00     1222.00     1478.00     180.093
       35.00     1233.00     1472.00     136.196
       47.00     1224.00     1477.00     288.149
       62.00     1228.00     1475.00    1279.789
       77.00     1229.00     1474.00    1339.445
        2.00     1479.00     1522.00      81.042
        7.00     1061.00      286.00      66.409
       10.00     1054.00      286.00      65.284
       19.00     1575.00      336.00     184.596
       26.00     1571.00      331.00     190.224
       28.00     1092.00      236.00     909.472
       29.00     1818.00      379.50     235.247
       33.00     1189.00     1874.00     117.061
       36.00      709.00     1762.00     592.057
       36.00     1069.00      636.00     293.777
       34.00     1306.00      693.00      84.419
       43.00      748.00     1364.00     558.290
       49.00     1352.00      296.00     265.638
       48.00     1594.00      353.00      74.289
       49.00      950.00     1816.00     762.020
       52.00     1190.00     1873.00     122.689
       55.00      588.00      518.00     129.442
       54.50     1839.50      410.50      72.037
       57.00     1068.00      637.00      94.549
       59.00     1469.00     1532.00     109.182
       66.00      603.00      129.00     180.093
       68.00     1471.00     1529.00     101.303
       71.00      989.00     1419.00     561.666
       69.00     1344.00      295.00      67.535
       69.00     1358.00      300.00      82.168
       72.00      578.00      528.00     129.442
       92.00      598.00      129.00     228.494
       92.00      601.00      129.00     228.494
       91.00     1154.00     1924.00      94.549
      106.00     1305.00      690.00     792.411
      116.00      330.00      477.00     816.048
      118.00      455.00     1753.00      70.912
      118.00     1046.00      287.00      77.665
      116.00     1064.00      635.00     929.732
      116.00     1105.00      238.00     767.648
      116.00     1267.00     1076.50     438.978
      149.00     1264.00     1087.00    1813.316
      157.00     1264.00     1087.00    1673.743
      186.00     1266.00     1085.00    2781.318
      123.00     1519.00     1011.00      94.549
      127.00     1519.00     1011.00      94.549
      133.00     1518.00     1011.00      93.423
      133.00     1520.00     1017.00      93.423
      141.00     1520.00     1018.00      94.549
      149.00     1520.00     1017.00      97.926
      161.00     1520.00     1017.00     101.303
      172.00     1519.00     1016.00     102.428
      178.00     1520.00     1018.00     103.554
      186.00     1519.00     1016.00      91.172
      193.50     1518.00     1017.00      93.423
      200.50     1518.00     1017.00      90.047
      214.00     1518.00     1017.00      84.419
      223.00     1519.00     1019.00      81.042
      121.00     1521.00     1170.00     147.451
      126.00     1534.00     1120.00      88.921
      127.00     1521.00     1177.00      65.284
      127.00     1526.00     1154.00      69.786
      128.00     1521.00     1170.00     133.944
      128.00     1528.00     1146.00      63.033
      134.00     1521.00     1177.00      61.907
      136.00     1521.00     1170.00     140.698
      142.00     1536.00     1115.00      83.293
      143.00     1521.00     1170.00     140.698
      149.00     1521.00     1170.00     147.451
      149.00     1526.00     1153.00     113.684
      150.00     1534.00     1119.00      72.037
      157.00     1521.00     1170.00     200.354
      157.00     1528.00     1146.00     135.070
      158.00     1534.00     1118.50      65.284
      172.00     1521.00     1170.00     120.437
      179.00     1521.00     1170.00     127.191
      185.67     1532.00     1136.33     318.540
      186.00     1521.00     1170.00     154.205
      193.00     1521.00     1170.00     173.340
      193.00     1532.00     1135.00     324.168
      199.00     1521.00     1170.00     108.056
      208.00     1521.00     1170.00     127.191
      215.00     1521.00     1170.00     147.451
      221.00     1521.00     1170.00     133.944
      228.00     1521.00     1170.00     120.437
      119.00     1545.00      744.00     135.070
      116.00     1835.00      403.00     173.340
      132.00      864.00      181.00     164.335
      133.00     1183.00      484.00     118.186
